Property URL,Property ID,Price,Bedrooms,Bathrooms,Property Type,Property Status,Guest Number,Address,City,State/County,Zip/Postal Code,Area,Country
https://www.bukitvista.com/property/work-from-bali-private-villa-near-pererenan-beach,PR0763,"Start from $1,290 USD per Month",N/A,N/A,"Residential, Villa","Good Deal, Private, Remote Working Friendly",2,"Jl. Pantai Pererenan, Pererenan, Mengwi, Kabupaten Badung, Bali",Bali,Bali,80351,badung,Indonesia
https://www.bukitvista.com/property/stunning-ocean-view-nusa-dua-villa-infinity-pool,PR0242,"Start from $13,160 USD per Month",3,4,"Ocean view, Residential, Villa","Instagramable Stay, Long Stay Trend Property, PRIME, Remote Working Friendly, Top Trending",6,"Jl. Raya Nusa Dua Selatan, Sawangan, Nusa Dua, Kabupaten Badung, Bali 80363",Bali,Bali,N/A,Nusa Dua,Indonesia
https://www.bukitvista.com/property/bukit-vista-central-canggu-private-villa-kitchen,PR0241,"Start from $1,780 USD per Month",N/A,N/A,"Residential, Villa",Long Stay Trend Property,2,"Canggu, North Kuta, Badung Regency, Bali, Indonesia",Bali,Bali,N/A,Canggu,Indonesia
https://www.bukitvista.com/property/bukit-vista-heritage-joglo-villa-w-private-pool,PR0697,Start from $100 USD,4,3,"Residential, Style, Villa",N/A,8,"Kauman, Yogyakarta",Yogyakarta,Yogyakarta,N/A,Yogyakarta,Indonesia
https://www.bukitvista.com/property/vr-bukit-vista-luxurious-home-in-jogjas-best-location,PR0616,Mulai dari Rp2.280.000 Rupiah per Malam,3,3,"Residential, Style, Villa",Yogyakarta Vacation Rental,6,"Kec. Ngaglik, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55581,Yogyakarta,Indonesia
https://www.bukitvista.com/property/bukit-vista-homey-3br-villa-perfect-for-holiday,PR0678,"Start from $1,970 USD per Month",3,3,"Residential, Villa",Group Friendly Stay,6,"Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,80361,Ungasan,Indonesia
https://www.bukitvista.com/property/amazing-1-br-villa-with-pool-and-scenic-rice-field-view,PR0397,Start from $40 USD,N/A,N/A,"Rice paddy view, Villa",N/A,2,"Jl. Raya Kendran, Kenderan, Kec. Tegallalang, Kabupaten Gianyar, Bali",Bali,Bali,80561,Ubud,Indonesia
https://www.bukitvista.com/property/stay-in-uluwatu-tropical-holiday-room-sterilized,PR0245,Start from $600 USD per Month,N/A,N/A,Guest House,"Good Deal, Instagramable Stay, Long Stay Trend Property, Remote Working Friendly",2,"Jl. Pantai Suluban, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Bali,Bali,N/A,Uluwatu,Indonesia
https://www.bukitvista.com/property/enjoy-long-stay-in-lovely-villa-by-bukit-vista,PR0529,"Start from $4,600 USD per Month",3,3,Villa,"Group Friendly Stay, Private, Remote Working Friendly",6,"Pecatu, South Kuta, Badung Regency, Bali, Indonesia",Bali,Bali,80361,Uluwatu,Indonesia
https://www.bukitvista.com/property/elegant-home-w-artistic-decoration-sterilized,PR0370,"Start from $4,920 USD per Month",4,3,"Residential, Villa",Group Friendly Stay,12,"Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55581,Yogyakarta,Indonesia
https://www.bukitvista.com/property/comfy-house-near-train-station-daily-monthly-stay,PR0355,"Start from $1,380 USD per Month",3,2,"Guest House, Residential, Style","Good Deal, Group Friendly Stay, Remote Working Friendly, Top Trending",8,"Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia",Yogyakarta,Yogyakarta,55225,Yogyakarta,Indonesia
https://www.bukitvista.com/property/hidden-paradise-villa-with-jungle-view-in-jogja,PR0387,"Start from $1,780 USD per Month",2,2,"View, Villa","Good Deal, Group Friendly Stay, Instagramable Stay, Long Stay Trend Property, Private, Top Trending",10,"Sanggrahan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55281,Yogyakarta,Indonesia
https://www.bukitvista.com/property/work-from-bali-in-authentic-balinese-villa-pool-by-bukit-vista,PR0092,"Start from $1,780 USD per Month",2,2,"Residential, Villa","Long Stay Trend Property, Remote Working Friendly",4,"Jalan Anggrek, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Bali,N/A,Jimbaran,Indonesia
https://www.bukitvista.com/property/bukit-vista-modern-architecture-villa-for-family,PR0417,"Start from $2,570 USD per Month",3,3,"Residential, Villa","Group Friendly Stay, Instagramable Stay, Long Stay Trend Property, Private, Remote Working Friendly",6,"Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bali,80361,Jimbaran,Indonesia
https://www.bukitvista.com/property/digital-nomads-favorite-1-br-villa-in-canggu-pool-by-bukit-vista,PR0637,Start from $990 USD per Month,N/A,N/A,"Style, Villa","Instagramable Stay, Long Stay Trend Property, Private, Remote Working Friendly",2,"Jl. Raya Kayu Tulang, Canggu, Kec. Kuta Utara, Badung, Bali",Bali,Bali,80351,Canggu,Indonesia
https://www.bukitvista.com/property/clean-bright-spacious-room-for-digital-nomad-by-bukit-vista,PR0494,Start from $790 USD per Month,N/A,N/A,Guest House,"Long Stay Trend Property, Remote Working Friendly",2,"Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bali,80361,Uluwatu,Indonesia
https://www.bukitvista.com/property/lovely-stop-w-great-location-to-explore-canggu,PR0339,Start from $790 USD per Month,N/A,N/A,"Guest House, Rice paddy view","Long Stay Trend Property, Remote Working Friendly",2,"Jl. Raya Semat Gang Strawberry, Canggu, Kuta Utara, Kabupaten Badung, Bali, Indonesia",N/A,N/A,N/A,Canggu,Indonesia
https://www.bukitvista.com/property/private-pool-villa-with-harmony-sterilized,PR0424,N/A,3,3,Villa,N/A,6,"Jl. Pantai Pererenan Gg. Bima, Pererenan, Mengwi, Badung Regency, Bali 80351",Bali,Bali,80351,Canggu,Indonesia
https://www.bukitvista.com/property/uluwatu-bungalow-w-fast-wifi-gym-by-bukit-vista,39783539,Start from $730 USD per Month,N/A,N/A,"Guest House, Jungle View","Instagramable Stay, Long Stay Trend Property, Remote Working Friendly",2,"Jalan Raya Uluwatu, Pecatu, South Kuta, Badung Regency, Bali",Bali,Bali,80361,Uluwatu,Indonesia
https://www.bukitvista.com/property/kabin-bali-asli-di-dekat-pantai-oleh-bukit-vista,PR0513,Start from Rp 4.500.000/Month,N/A,N/A,N/A,N/A,N/A,"Jl. Pura Selonding, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",N/A,N/A,N/A,N/A,N/A
https://www.bukitvista.com/property/authentic-balinese-cabin-near-beach-by-bukit-vista,PR0513,Start from $790 USD per Month,N/A,N/A,Villa,"Long Stay Trend Property, Top Trending",N/A,"South Kuta, Bali, Indonesia",Bali,Bali,N/A,Uluwatu,Indonesia
https://www.bukitvista.com/property/kamar-digital-nomad-di-uluwatu-oleh-bukit-vista,41945741,Start from Rp 3.500.000/month,N/A,N/A,N/A,N/A,N/A,"Jl. Raya Uluwatu Pecatu, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",N/A,N/A,80361,N/A,N/A
https://www.bukitvista.com/property/villa-santorini-untuk-digital-nomads-oleh-bukit-vista,31152138,Start from Rp 4.500.000/Month,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.bukitvista.com/property/villa-steril-dengan-pemandangan-hutan-oleh-bukit-vista,42769205,Start from Rp 4.500.000/month,N/A,N/A,N/A,N/A,N/A,"Jl. Tirta Tawar No.26A, Petulu, Kecamatan Ubud, Kabupaten Gianyar, Bali",N/A,N/A,80571,N/A,N/A
https://www.bukitvista.com/property/guesthouse-untuk-digital-nomad-di-jantung-canggu,41848814,Start from Rp 3.500.000/month,N/A,N/A,N/A,N/A,N/A,"Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali",N/A,N/A,80351,N/A,N/A
https://www.bukitvista.com/property/kabin-dekat-dengan-pura-uluwatu-oleh-bukit-vista,N/A,Start from Rp 4.000.000/Month,N/A,N/A,N/A,N/A,N/A,Jl. Raya Uluwatu Pecatu No.500,N/A,N/A,80361,N/A,N/A
https://www.bukitvista.com/property/kamar-nyaman-tenang-5-menit-ke-pantai-canggu,24107708,Start from Rp 3.500.000/month,N/A,N/A,N/A,N/A,N/A,"Jalan Tanah Barak, Canggu",N/A,N/A,80361,N/A,N/A
https://www.bukitvista.com/property/kamar-yang-teduh-di-tanah-barak-canggu-cocok-untuk-kerja,48906578,Start from Rp 3.500.000/month,N/A,N/A,N/A,N/A,N/A,"Canggu, Badung Regency, Bali, Indonesia",N/A,N/A,80361,N/A,N/A
https://www.bukitvista.com/property/breezy-atmosphere-villa-in-ungasan-by-bukit-vista,47126532,"Start from $2,960 USD per Month",4,4,Villa,"Group Friendly Stay, Instagramable Stay, Long Stay Trend Property, Remote Working Friendly",8,"Ungasan, South Kuta, Badung Regency, Bali, Indonesia",Bali,Bali,N/A,Ungasan,Indonesia
https://www.bukitvista.com/property/kamar-dengan-pemandangan-pantai-di-bingin-by-bukit-vista,24810003,Start from Rp 7.000.000/Month,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.bukitvista.com/property/beautiful-cabin-right-on-the-beach-by-bukit-vista,24721612,"Start from $1,580 USD per Month",N/A,N/A,"Beachfront, Guest House, View","Instagramable Stay, Long Stay Trend Property, Remote Working Friendly",2,"Jl. Pantai Bingin, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bali,80361,Bingin,Indonesia
https://www.bukitvista.com/property/villa-di-tepi-pantai-bingin-oleh-bukit-vista,20807303,Start from Rp 26.000.000/Month,4,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.bukitvista.com/property/enjoy-sound-of-waves-lullaby-in-beachfront-cabin-by-bukit-vista,40972399,"Start from $1,580 USD per Month",N/A,N/A,"Beachfront, Guest House, Ocean view","Instagramable Stay, Long Stay Trend Property",2,"Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bali,80361,Bingin,Indonesia
https://www.bukitvista.com/property/wooden-javanese-house-in-canggu-hype-spot-by-bukit-vista,33859326,"Start from $1,220 USD per Month",N/A,N/A,Guest House,"Remote Working Friendly, Top Trending",N/A,N/A,Bali,Bali,N/A,Canggu,Indonesia
https://www.bukitvista.com/property/staycation-villa-dekat-deus-canggu-bukit-vista,23469801,Start from Rp 13.000.000/Month,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.bukitvista.com/property/strategic-guest-house-in-canggu-w-pool,PR0575,Start from $890 USD per Month,N/A,N/A,Guest House,"Long Stay Trend Property, Remote Working Friendly",2,"Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali, Indonesia",Bali,Bali,80361,Canggu,Indonesia
https://www.bukitvista.com/property/tranquil-comfy-chamber-5-min-to-canggu-beach,24107708,Start from $890 USD per Month,N/A,N/A,Guest House,Remote Working Friendly,2,"Jalan Tanah Barak, Canggu",Bali,Bali,80361,Canggu,Indonesia
https://www.bukitvista.com/property/spacious-villa-with-swimming-pool-for-big-group,PR0354,"Start from $3,350 USD per Month",5,5,Villa,Long Stay Trend Property,10,Alang Alang Residence Jimbaran,Bali,Bali,80361,Jimbaran,Indonesia
https://www.bukitvista.com/property/ubud-sterilized-villa-w-jungle-view,42769205,Start from $690 USD per Month,N/A,N/A,"Jungle View, Villa",Remote Working Friendly,2,"Jl. Tirta Tawar, Petulu, Kecamatan Ubud, Kabupaten Gianyar, Bali",Bali,Bali,80571,Ubud,Indonesia
https://www.bukitvista.com/property/relaxing-spacious-villa-pool-5br-sterilized,34100635,"Start from $3,290 USD per Month",5,5,Villa,Top Trending,N/A,"Ungasan, Indonesia",Bali,Bali,80361,Ungasan,Indonesia
https://www.bukitvista.com/property/guesthouse-for-digital-nomad-in-heart-of-canggu,41848814,Start from $820 USD per Month,N/A,N/A,Guest House,Remote Working Friendly,2,"Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali",Bali,Bali,80351,Canggu,Indonesia
https://www.bukitvista.com/property/amusing-guesthouse-walkable-to-canggu-hustle,PR0198,Start from $690 USD per Month,N/A,N/A,"Guest House, Residential","Good Deal, Long Stay Trend Property",2,"Jalan Pantai Batu Bolong, Canggu, Kabupaten Badung, Bali",Bali,Bali,80361,Canggu,Indonesia
https://www.bukitvista.com/property/enchanting-hillside-cabin-w-pool-uluwatu-temple,N/A,"Start from $1,380 per Month",N/A,N/A,"Guest House, Island life",Top Trending,N/A,"Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,80361,Uluwatu,Indonesia
